region,population_2011,population_2012,population_2013
Alabama,4801627,4817528,4833722
Alaska,723375,730307,735132
Arizona,6468796,6551149,6626624
Arkansas,2938506,2949828,2959373
California,37668681,37999878,38332521
Colorado,5118400,5189458,5268367
Connecticut,3588948,3591765,3596080
Delaware,907985,917053,925749
Florida,19083482,19320749,19552860
Georgia,9810181,9915646,9992167
Hawaii,1376897,1390090,1404054
Idaho,1583930,1595590,1612136
Illinois,12855970,12868192,12882135
Indiana,6516336,6537782,6570902
Iowa,3064102,3075039,3090416
Kansas,2869548,2885398,2893957
Kentucky,4366869,4379730,4395295
Louisiana,4575197,4602134,4625470
Maine,1327844,1328501,1328302
Maryland,5840241,5884868,5928814
Massachusetts,6606285,6645303,6692824
Michigan,9874589,9882519,9895622
Minnesota,5347108,5379646,5420380
Mississippi,2977886,2986450,2991207
Missouri,6010065,6024522,6044171
Montana,997600,1005494,1015165
Nebraska,1841749,1855350,1868516
Nevada,2717951,2754354,2790136
New Hampshire,1318075,1321617,1323459
New Jersey,8836639,8867749,8899339
New Mexico,2077919,2083540,2085287
New York,19502728,19576125,19651127
North Carolina,9651377,9748364,9848060
North Dakota,684867,701345,723393
Ohio,11549772,11553031,11570808
Oklahoma,3785534,3815780,3850568
Oregon,3867937,3899801,3930065
Pennsylvania,12741310,12764475,12773801
Rhode Island,1050350,1050304,1051511
South Carolina,4673509,4723417,4774839
South Dakota,823772,834047,844877
Tennessee,6398361,6454914,6495978
Texas,25640909,26060796,26448193
Utah,2814784,2854871,2900872
Vermont,626320,625953,626630
Virginia,8105850,8186628,8260405
Washington,6821481,6895318,6971406
West Virginia,1855184,1856680,1854304
Wisconsin,5708785,5724554,5742713
Wyoming,567329,576626,582658